Account,Country,Followers
@realDonaldTrump,United States,88M
@narendramodi,India,63M
@Pontifex,Vatican,50M
@PMOIndia,India,39M
@POTUS,United States,33M
@WhiteHouse,United States,25M
@JoeBiden,United States,20M
@RTErdogan,Turkey,17M
@jokowi,Indonesia,14M
@ImranKhanPTI,Pakistan,12M
@rashtrapatibhvn,India,11M
@QueenRania,Jordan,10M
@HHShkMohd,United Arab Emirates,10M
@KingSalman,Saudi Arabia,8M
@tcbestepe,Turkey,8M
@lopezobrador_,Mexico,7M
@jairbolsonaro,Brazil,6M
@EmmanuelMacron,France,6M
@StateDept,United States,6M
@10DowningStreet,United Kingdom,5M
@JustinTrudeau,Canada,5M
@ABZayed,United Arab Emirates,4M
@AlsisiOfficial,Egypt,4M
@RoyalFamily,United Kingdom,4M
@MohamedBinZayed,United Arab Emirates,4M
@NicolasMaduro,Venezuela,3M
@MBuhari,Nigeria,3M
@SMQureshiPTI,Pakistan,3M
@KremlinRussia,Russia,3M
@BorisJohnson,United Kingdom,3M
@KSAMOFA,Saudi Arabia,2M
@ArifAlvi,Pakistan,2M
@SecPompeo,United States,2M
@Elysee,France,2M
@sebastianpinera,Chile,2M
@mygovindia,India,2M
@nayibbukele,El Salvador,2M
@PaulKagame,Rwanda,2M
@NGRPresident,Nigeria,2M
@MEAIndia,India,2M
@IvanDuque,Colombia,2M
@KagutaMuseveni,Uganda,2M
@m_ebrard,Mexico,2M
@alferdez,Argentina,1M
@netanyahu,Israel,1M
@KingAbdullahII,Jordan,1M
@MevlutCavusoglu,Turkey,1M
@moonriver365,South Korea,1M
@GOVUK,United Kingdom,1M
@NAkufoAddo,Ghana,1M
